Transaction_Date,Stock_ Date,Invoice_ID,Age_Group_Key,Customer_Gender_Key,Region_Key,Product_Category_Key,Sub_Category_Key,Product_Key,Quantity_Sold
1/1/2019,7/5/2018,INV-60196,4,2,1,2,11,244,4
1/1/2019,8/29/2018,INV-60197,3,1,1,2,11,267,2
1/1/2019,11/29/2018,INV-60198,1,2,4,2,10,232,2
1/1/2019,11/2/2018,INV-60199,3,2,5,2,11,314,4
1/1/2019,12/5/2018,INV-60200,1,2,7,2,11,253,2
1/1/2019,12/19/2018,INV-60201,1,2,8,2,11,259,2
1/1/2019,8/26/2018,INV-60202,1,1,9,2,11,274,2
1/1/2019,11/5/2018,INV-60203,3,2,9,2,11,247,2
1/2/2019,10/15/2018,INV-60204,3,1,4,2,11,250,2
1/2/2019,8/8/2018,INV-60205,3,1,7,2,11,244,2
1/2/2019,9/14/2018,INV-60206,3,2,8,2,10,231,2
1/2/2019,9/27/2018,INV-60207,1,1,8,2,11,257,3
1/2/2019,10/9/2018,INV-60208,3,1,9,2,10,226,2
1/2/2019,11/25/2018,INV-60209,3,2,9,2,10,232,2
1/2/2019,8/2/2018,INV-60210,3,1,9,2,10,232,2
1/2/2019,7/28/2018,INV-60211,3,2,9,2,11,250,3
1/2/2019,8/27/2018,INV-60212,3,1,9,2,11,273,2
1/2/2019,10/14/2018,INV-60213,1,2,10,2,11,274,3
1/2/2019,11/12/2018,INV-60214,3,1,10,2,11,249,2
1/2/2019,7/24/2018,INV-60215,3,1,10,2,11,249,2
1/3/2019,8/8/2018,INV-60216,3,2,4,2,11,313,4
1/3/2019,10/9/2018,INV-60217,1,1,6,2,11,244,3
1/3/2019,8/29/2018,INV-60218,4,1,9,2,10,228,2
1/3/2019,10/7/2018,INV-60219,3,2,9,2,10,226,2
1/3/2019,12/12/2018,INV-60220,1,2,9,2,11,264,3
1/3/2019,11/27/2018,INV-60221,3,2,10,2,10,229,2
1/3/2019,8/22/2018,INV-60222,3,1,10,2,11,255,2
1/4/2019,8/12/2018,INV-60223,1,1,1,2,10,235,3
1/4/2019,11/10/2018,INV-60224,1,2,8,2,11,257,3
1/4/2019,11/10/2018,INV-60225,3,1,9,2,11,264,4
1/4/2019,11/30/2018,INV-60226,1,1,9,2,11,264,2
1/4/2019,10/8/2018,INV-60227,3,1,9,2,11,263,2
1/4/2019,9/19/2018,INV-60228,3,1,9,2,11,263,2
1/4/2019,7/27/2018,INV-60229,1,1,9,2,11,269,2
1/4/2019,8/17/2018,INV-60230,1,1,10,2,11,249,2
1/5/2019,10/11/2018,INV-60231,1,2,4,2,10,234,2
1/5/2019,9/10/2018,INV-60232,3,2,6,2,10,228,2
1/5/2019,9/19/2018,INV-60233,3,2,9,2,10,231,2
1/5/2019,8/17/2018,INV-60234,1,2,9,2,11,244,4
1/5/2019,7/21/2018,INV-60235,3,2,9,2,11,259,3
1/5/2019,10/21/2018,INV-60236,1,2,10,2,11,246,2
1/5/2019,11/26/2018,INV-60237,3,1,10,2,11,249,2
1/6/2019,10/13/2018,INV-60238,3,1,9,2,11,256,3
1/6/2019,10/31/2018,INV-60239,1,2,9,2,11,269,3
1/7/2019,12/3/2018,INV-60240,4,1,1,2,11,248,3
1/7/2019,1/1/2019,INV-60241,3,2,1,2,11,254,3
1/7/2019,11/17/2018,INV-60242,3,2,1,2,11,254,2
1/7/2019,11/1/2018,INV-60243,1,1,7,2,11,262,4
1/7/2019,8/21/2018,INV-60244,3,1,8,2,11,263,2
1/7/2019,10/3/2018,INV-60245,4,1,9,2,10,307,2
1/7/2019,11/4/2018,INV-60246,3,1,9,2,10,232,3
1/7/2019,10/24/2018,INV-60247,3,1,10,2,10,226,4
1/7/2019,11/11/2018,INV-60248,1,2,10,2,11,274,4
1/8/2019,11/25/2018,INV-60249,1,1,1,2,10,227,2
1/8/2019,12/12/2018,INV-60250,3,2,1,2,11,260,2
1/8/2019,10/27/2018,INV-60251,3,2,4,2,11,314,4
1/8/2019,12/4/2018,INV-60252,1,1,7,2,10,229,2
1/8/2019,8/14/2018,INV-60253,3,2,7,2,10,236,2
1/8/2019,8/15/2018,INV-60254,3,1,9,2,10,228,2
1/8/2019,8/4/2018,INV-60255,3,1,9,2,10,226,2
1/8/2019,7/25/2018,INV-60256,3,1,9,2,10,226,2
1/8/2019,11/24/2018,INV-60257,3,1,9,2,11,263,4
1/8/2019,8/30/2018,INV-60258,3,1,10,2,11,250,2
1/9/2019,11/7/2018,INV-60259,3,1,1,2,11,268,3
1/9/2019,8/18/2018,INV-60260,4,2,4,2,10,229,2
1/9/2019,10/25/2018,INV-60261,4,1,4,2,10,239,4
1/9/2019,9/3/2018,INV-60262,1,1,4,2,10,228,2
1/9/2019,9/18/2018,INV-60263,1,2,7,2,11,255,2
1/9/2019,12/26/2018,INV-60264,1,2,8,2,11,252,2
1/9/2019,11/23/2018,INV-60265,4,2,9,2,10,228,2
1/9/2019,12/23/2018,INV-60266,3,2,9,2,10,239,2
1/9/2019,8/20/2018,INV-60267,3,1,9,2,11,268,2
1/10/2019,11/17/2018,INV-60268,3,1,1,2,11,245,2
1/10/2019,11/20/2018,INV-60269,3,2,4,2,11,250,2
1/10/2019,10/30/2018,INV-60270,4,2,6,2,10,311,2
1/10/2019,9/24/2018,INV-60271,1,2,7,2,11,275,3
1/10/2019,10/13/2018,INV-60272,3,2,7,2,11,263,2
1/10/2019,11/6/2018,INV-60273,3,1,9,2,10,226,2
1/10/2019,7/26/2018,INV-60274,1,1,9,2,11,264,2
1/10/2019,12/21/2018,INV-60275,1,1,9,2,11,275,3
1/10/2019,8/1/2018,INV-60276,1,1,9,2,11,264,2
1/10/2019,11/24/2018,INV-60277,3,1,9,2,11,263,2
1/10/2019,9/17/2018,INV-60278,3,2,9,2,11,247,2
1/11/2019,11/29/2018,INV-60279,4,1,4,2,10,228,2
1/11/2019,9/6/2018,INV-60280,1,2,4,2,11,262,2
1/11/2019,11/6/2018,INV-60281,4,2,9,2,10,312,4
1/11/2019,8/22/2018,INV-60282,3,1,9,2,11,250,2
1/11/2019,12/26/2018,INV-60283,1,2,9,2,11,249,2
1/11/2019,10/11/2018,INV-60284,4,2,10,2,10,232,2
1/11/2019,12/1/2018,INV-60285,1,1,10,2,11,254,3
1/12/2019,9/1/2018,INV-60286,1,2,4,2,10,227,4
1/12/2019,9/13/2018,INV-60287,3,2,4,2,10,232,2
1/12/2019,7/31/2018,INV-60288,3,2,4,2,11,250,2
1/12/2019,12/17/2018,INV-60289,4,1,9,2,10,228,2
